run_id,experiment,strategy,isolation_level,mode,concurrency,accounts,max_streams,race_delay_ms,granted,rejected,retries,deadlocks,lock_timeouts,errors,violations,p50_ms,p95_ms,throughput_rps,wall_ms,batch_id,trial,final_count
3787,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,9,1.69,1.81,4831.11,2.07,52871cd8-c451-4417-b658-135e85f7adb5,1,1
3788,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,9,1.22,1.38,6711.59,1.49,52871cd8-c451-4417-b658-135e85f7adb5,2,1
3789,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,9,1.21,1.29,6516.08,1.53,52871cd8-c451-4417-b658-135e85f7adb5,3,1
3790,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,9,1.2,1.38,6774.11,1.48,52871cd8-c451-4417-b658-135e85f7adb5,4,1
3791,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,0,10,0,0,0,0,0,9,1.09,1.13,7488.3,1.34,52871cd8-c451-4417-b658-135e85f7adb5,5,1
3792,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,9,25.16,25.25,393.87,25.39,52871cd8-c451-4417-b658-135e85f7adb5,1,1
3793,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,9,24.13,24.31,408.93,24.45,52871cd8-c451-4417-b658-135e85f7adb5,2,1
3794,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,9,22.99,23.1,429.61,23.28,52871cd8-c451-4417-b658-135e85f7adb5,3,1
3795,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,9,23.31,23.37,422.69,23.66,52871cd8-c451-4417-b658-135e85f7adb5,4,1
3796,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,10,1,1,20,10,0,0,0,0,0,9,24.09,24.18,407.55,24.54,52871cd8-c451-4417-b658-135e85f7adb5,5,1
3797,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,49,3.96,4.66,8660.63,5.77,52871cd8-c451-4417-b658-135e85f7adb5,1,1
3798,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,49,3.49,4.02,9819.48,5.09,52871cd8-c451-4417-b658-135e85f7adb5,2,1
3799,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,49,3.55,3.93,9850.44,5.08,52871cd8-c451-4417-b658-135e85f7adb5,3,1
3800,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,49,3.25,3.75,10688.33,4.68,52871cd8-c451-4417-b658-135e85f7adb5,4,1
3801,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,0,50,0,0,0,0,0,49,2.94,3.34,11642.24,4.29,52871cd8-c451-4417-b658-135e85f7adb5,5,1
3802,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,49,24.76,25.55,1929.48,25.91,52871cd8-c451-4417-b658-135e85f7adb5,1,1
3803,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,49,24.89,25.1,1898.83,26.33,52871cd8-c451-4417-b658-135e85f7adb5,2,1
3804,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,49,23.11,23.59,2046.44,24.43,52871cd8-c451-4417-b658-135e85f7adb5,3,1
3805,LOST_UPDATE,NAIVE_RMW,AUTOCOMMIT,NORMAL,50,1,1,20,50,0,0,0,0,0,49,25.45,25.9,1857.55,26.92,52871cd8-c451-4417-b658-135e85f7adb5,4,1
