run_id,experiment,strategy,label,isolation_level,mode,concurrency,accounts,max_streams,race_delay_ms,granted,rejected,retries,deadlocks,lock_timeouts,errors,violations,p50_ms,p95_ms,throughput_rps,wall_ms,batch_id,trial
2667,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,9.34,9.62,204.99,9.76,52871cd8-c451-4417-b658-135e85f7adb5,1
2668,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,2.79,3.24,610.3,3.28,52871cd8-c451-4417-b658-135e85f7adb5,2
2669,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,3.2,3.93,508.17,3.94,52871cd8-c451-4417-b658-135e85f7adb5,3
2670,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,3.24,3.69,536.31,3.73,52871cd8-c451-4417-b658-135e85f7adb5,4
2671,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,3.24,3.67,541.47,3.69,52871cd8-c451-4417-b658-135e85f7adb5,5
2672,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,2.96,3.54,564.91,3.54,52871cd8-c451-4417-b658-135e85f7adb5,6
2673,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,3.26,3.63,547.48,3.65,52871cd8-c451-4417-b658-135e85f7adb5,7
2674,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,4.23,4.68,426.57,4.69,52871cd8-c451-4417-b658-135e85f7adb5,8
2675,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,3.23,3.51,564.67,3.54,52871cd8-c451-4417-b658-135e85f7adb5,9
2676,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,0,2,0,0,0,0,0,1,2.62,3.07,650.99,3.07,52871cd8-c451-4417-b658-135e85f7adb5,10
2677,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,23.57,23.92,83.61,23.92,52871cd8-c451-4417-b658-135e85f7adb5,1
2678,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,24.32,24.6,81.23,24.62,52871cd8-c451-4417-b658-135e85f7adb5,2
2679,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,22.49,23.64,84.5,23.67,52871cd8-c451-4417-b658-135e85f7adb5,3
2680,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,24.9,25.11,79.57,25.14,52871cd8-c451-4417-b658-135e85f7adb5,4
2681,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,24.89,25.19,79.32,25.21,52871cd8-c451-4417-b658-135e85f7adb5,5
2682,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,25.09,25.5,78.43,25.5,52871cd8-c451-4417-b658-135e85f7adb5,6
2683,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,23.86,24.24,82.26,24.31,52871cd8-c451-4417-b658-135e85f7adb5,7
2684,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,24.66,25.17,79.26,25.23,52871cd8-c451-4417-b658-135e85f7adb5,8
2685,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,26.19,26.7,74.88,26.71,52871cd8-c451-4417-b658-135e85f7adb5,9
2686,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,1,1,20,2,0,0,0,0,0,1,25.96,26.48,75.5,26.49,52871cd8-c451-4417-b658-135e85f7adb5,10
2687,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,4.3,4.93,401.77,4.98,52871cd8-c451-4417-b658-135e85f7adb5,1
2688,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.78,4.02,490.61,4.08,52871cd8-c451-4417-b658-135e85f7adb5,2
2689,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.27,3.4,571.97,3.5,52871cd8-c451-4417-b658-135e85f7adb5,3
2690,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.38,3.58,550.56,3.63,52871cd8-c451-4417-b658-135e85f7adb5,4
2691,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.33,3.93,493.83,4.05,52871cd8-c451-4417-b658-135e85f7adb5,5
2692,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.24,3.42,570.17,3.51,52871cd8-c451-4417-b658-135e85f7adb5,6
2693,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.11,3.31,583,3.43,52871cd8-c451-4417-b658-135e85f7adb5,7
2694,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,2.87,3.16,612.4,3.27,52871cd8-c451-4417-b658-135e85f7adb5,8
2695,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,2.78,2.96,653.82,3.06,52871cd8-c451-4417-b658-135e85f7adb5,9
2696,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,0,2,0,0,0,0,0,0,3.47,3.63,536.01,3.73,52871cd8-c451-4417-b658-135e85f7adb5,10
2697,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,25.23,25.67,77.73,25.73,52871cd8-c451-4417-b658-135e85f7adb5,1
2698,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,24.85,25.09,79.53,25.15,52871cd8-c451-4417-b658-135e85f7adb5,2
2699,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,23.83,23.97,83.21,24.04,52871cd8-c451-4417-b658-135e85f7adb5,3
2700,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,24.75,25.12,79.59,25.13,52871cd8-c451-4417-b658-135e85f7adb5,4
2701,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,25.95,26.29,75.73,26.41,52871cd8-c451-4417-b658-135e85f7adb5,5
2702,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,24.76,25.03,79.58,25.13,52871cd8-c451-4417-b658-135e85f7adb5,6
2703,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,25.59,26.13,76.52,26.14,52871cd8-c451-4417-b658-135e85f7adb5,7
2704,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,26.48,26.6,74.9,26.7,52871cd8-c451-4417-b658-135e85f7adb5,8
2705,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,25.3,25.64,77.82,25.7,52871cd8-c451-4417-b658-135e85f7adb5,9
2706,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,2,16,1,20,2,0,0,0,0,0,0,25.36,25.69,77.63,25.76,52871cd8-c451-4417-b658-135e85f7adb5,10
2707,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,8.1,11.23,701.07,11.41,52871cd8-c451-4417-b658-135e85f7adb5,1
2708,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.27,8.56,883.96,9.05,52871cd8-c451-4417-b658-135e85f7adb5,2
2709,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.24,8.68,873.85,9.15,52871cd8-c451-4417-b658-135e85f7adb5,3
2710,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.06,8.39,921.99,8.68,52871cd8-c451-4417-b658-135e85f7adb5,4
2711,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.66,9.08,868.8,9.21,52871cd8-c451-4417-b658-135e85f7adb5,5
2712,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.66,11.68,683.91,11.7,52871cd8-c451-4417-b658-135e85f7adb5,6
2713,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,6.15,8.92,883.39,9.06,52871cd8-c451-4417-b658-135e85f7adb5,7
2714,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,5.14,10.78,731.13,10.94,52871cd8-c451-4417-b658-135e85f7adb5,8
2715,STREAM_LIMIT,NAIVE,NAIVE,AUTOCOMMIT,NORMAL,8,1,1,0,8,0,0,0,0,0,7,5.43,8.1,981.18,8.15,52871cd8-c451-4417-b658-135e85f7adb5,9
